ime,drzava,zivljenska_doba,visina,velikost,popularnost,cena
Dorgi,/,12,8,Small,/,300
Dorkie,/,13,5,Small,/,600
Double Doodle,/,12,20,Medium,/,800
Maremma Sheepdog,Italy,11,24,Large,/,800
Lucas Terrier,United Kingdom,14,10,Small,/,600
Lurcher,United Kingdom,12,22,Large,/,800
Mal-Shi,United States,12,/,Small,/,1000
Shichon,United States,12,19,Small,/,1200
Slovensky Cuvac,Slovakia,11,22,Large,/,1200
Moscow Watchdog,Russia,9,25,Large,/,800
Stabyhoun,Netherlands,13,19,Medium,/,800
Mountain Cur,United States,12,18,Medium,/,500
Polish Tatra Sheepdog,Poland,10,24,Large,/,800
Puggle,United States,10,10,Small,/,800
Russian Tsvetnaya Bolonka,Russia,12,9,Small,/,1800
